,customer_id,customer_name,region_code,region_name,user_id,user_code,segment_letter
0,4,"СППСК ""Зерос""",48,Липецкая область,1,"Dolmatov, Evgeny",B
1,5,ЗАО Ивово (Колос Агро),48,Липецкая область,2,"Retunskiy, Maksim",B
2,6,КФХ Приволье-1,48,Липецкая область,2,"Retunskiy, Maksim",B
3,7,ООО Золотая Нива (Липецкая сортоиспытательная станция),48,Липецкая область,2,"Retunskiy, Maksim",A
4,8,ООО Липецкптица,48,Липецкая область,2,"Retunskiy, Maksim",C
5,9,"ОАО Рудничное"", (КолоСС ООО)",48,Липецкая область,2,"Retunskiy, Maksim",A
6,11,ООО Вербиловское (Данон),48,Липецкая область,2,"Retunskiy, Maksim",B
7,12,ООО Май,48,Липецкая область,2,"Retunskiy, Maksim",B
8,13,ООО Новолипецкое,48,Липецкая область,2,"Retunskiy, Maksim",B
9,14,"ООО Стройсельхозгарант (ООО ""Благое"")",48,Липецкая область,2,"Retunskiy, Maksim",C
10,16,СХПК Березка,48,Липецкая область,2,"Retunskiy, Maksim",C
11,17,"ООО АПО ""Дружба""",48,Липецкая область,1,"Dolmatov, Evgeny",B
12,18,"КФХ ""Байгора""",48,Липецкая область,1,"Dolmatov, Evgeny",B
13,19,КФХ Зыбин В.В,48,Липецкая область,1,"Dolmatov, Evgeny",D
14,20,ООО Карамышевское,48,Липецкая область,1,"Dolmatov, Evgeny",C
15,22,ЗАО АПП Кировское,48,Липецкая область,1,"Dolmatov, Evgeny",C
16,23,КФХ Колобовников А.С,48,Липецкая область,1,"Dolmatov, Evgeny",D
17,24,ИП Золотарев Владимир Иванович,48,Липецкая область,1,"Dolmatov, Evgeny",B
18,25,КФХ Плохих В.Д.,48,Липецкая область,2,"Retunskiy, Maksim",C
19,26,КФХ Попов В.И,48,Липецкая область,1,"Dolmatov, Evgeny",C
20,27,КХ Начало,48,Липецкая область,1,"Dolmatov, Evgeny",D
21,28,ООО Агрокомплекс Добровский (Доминант),48,Липецкая область,1,"Dolmatov, Evgeny",A
22,29,"ООО ""Агроконсалтинг""",48,Липецкая область,1,"Dolmatov, Evgeny",A
23,31,ООО Путятинское,48,Липецкая область,1,"Dolmatov, Evgeny",C
24,32,ООО Липовка (Добровский район),48,Липецкая область,1,"Dolmatov, Evgeny",D
25,33,ИП Антонова Ю.В.,48,Липецкая область,2,"Retunskiy, Maksim",D
26,34,КФХ  Терешкин В.Н,48,Липецкая область,2,"Retunskiy, Maksim",D
27,37,ООО Новочемодановское,48,Липецкая область,2,"Retunskiy, Maksim",C
28,39,ООО Хлебороб (Лев-Толстовский район),48,Липецкая область,2,"Retunskiy, Maksim",C
29,41,СХПК Ленина,48,Липецкая область,2,"Retunskiy, Maksim",D
30,42,ЗАО Возрождение,48,Липецкая область,3,"Kalinin, Maksim",C
31,44,ЗАО Данковский Солод,48,Липецкая область,3,"Kalinin, Maksim",C
32,45,"КФХ ""Дубок""",48,Липецкая область,3,"Kalinin, Maksim",C
33,46,КФХ Кровопусков,48,Липецкая область,3,"Kalinin, Maksim",D
34,47,КФХ Полесье,48,Липецкая область,3,"Kalinin, Maksim",C
35,48,"ООО ""Данков-Агроинвест""",48,Липецкая область,3,"Kalinin, Maksim",D
36,50,"ООО АПК ""Русагроальянс""",48,Липецкая область,2,"Retunskiy, Maksim",A
37,51,ООО Данковские фермы,48,Липецкая область,3,"Kalinin, Maksim",D
38,53,СПК Кудрявщинский,48,Липецкая область,3,"Kalinin, Maksim",C
39,54,КФХ Бакланов А.Е.,48,Липецкая область,3,"Kalinin, Maksim",D
40,55,"КФХ ""Восток""",48,Липецкая область,3,"Kalinin, Maksim",D
41,56,ЗАО 15 Лет Октября,48,Липецкая область,1,"Dolmatov, Evgeny",B
42,57,ЗАО  АФ Русь,48,Липецкая область,2,"Retunskiy, Maksim",B
43,59,"ЗАО СХП ""Мокрое""",48,Липецкая область,2,"Retunskiy, Maksim",A
44,60,КФХ Русин А.Н,48,Липецкая область,2,"Retunskiy, Maksim",D
45,63,"ОАО СХПК ""Красивая меча""",48,Липецкая область,2,"Retunskiy, Maksim",C
46,64,ООО Агроном-сад,48,Липецкая область,2,"Retunskiy, Maksim",D
47,65,ООО Лебедянское,48,Липецкая область,2,"Retunskiy, Maksim",A
48,67,КФХ Чурилов А.М.,48,Липецкая область,2,"Retunskiy, Maksim",C
49,68,АО РаненбургКомплекс,48,Липецкая область,3,"Kalinin, Maksim",A
50,69,"КФХ ""Восход"" (Чаплыгинский район)",48,Липецкая область,3,"Kalinin, Maksim",C
51,70,"КХ ""Дубрава""",48,Липецкая область,3,"Kalinin, Maksim",C
52,71,КФХ Медведев В.П,48,Липецкая область,3,"Kalinin, Maksim",D
53,72,КФХ Россия,48,Липецкая область,3,"Kalinin, Maksim",C
54,73,ООО Ведное,48,Липецкая область,3,"Kalinin, Maksim",C
55,75,ООО Дубовое,48,Липецкая область,3,"Kalinin, Maksim",C
56,76,ООО Зенкино ,48,Липецкая область,3,"Kalinin, Maksim",E
57,77,ООО Пиковская земля,48,Липецкая область,3,"Kalinin, Maksim",C
58,78,"ООО ""Раненбургъ""",48,Липецкая область,2,"Retunskiy, Maksim",A
59,79,КФХ Климентов С.Н,48,Липецкая область,1,"Dolmatov, Evgeny",D
60,80,КФХ Черкасов А.Е.,48,Липецкая область,1,"Dolmatov, Evgeny",E
61,81,"КФХ ""Виктория"" (Хлевное)",48,Липецкая область,1,"Dolmatov, Evgeny",D
62,83,"КФХ ""Дружба""",48,Липецкая область,1,"Dolmatov, Evgeny",D
63,84,"КФХ ""Знаменское""",48,Липецкая область,1,"Dolmatov, Evgeny",D
64,85,"КФХ ""Каменев""",48,Липецкая область,1,"Dolmatov, Evgeny",D
65,86,"КФХ ""Кентавр""",48,Липецкая область,1,"Dolmatov, Evgeny",E
66,87,КФХ Булавин И.В,48,Липецкая область,1,"Dolmatov, Evgeny",D
67,88,"КФХ ""Русь""(Дмитряшевка)",48,Липецкая область,1,"Dolmatov, Evgeny",D
68,90,"КХ ""Речное""",48,Липецкая область,1,"Dolmatov, Evgeny",A
69,91,"ООО ""Афина""",48,Липецкая область,1,"Dolmatov, Evgeny",C
70,92,"ООО ""Дон -Агро""",48,Липецкая область,1,"Dolmatov, Evgeny",D
